Timestamp,Temperature (C),Humidity (%)
2024-12-12 07:57:55,23.8,49.0
2024-12-12 07:58:00,23.8,49.0
2024-12-12 07:58:06,23.8,49.0
2024-12-12 07:58:11,23.8,49.0
2024-12-12 07:58:16,23.8,49.0
2024-12-12 07:58:21,23.8,49.0
2024-12-12 07:58:27,23.8,49.0
2024-12-12 07:58:32,23.8,49.0
2024-12-12 07:58:37,23.8,49.0
2024-12-12 07:58:42,23.8,49.0
2024-12-12 07:58:48,23.8,49.0
2024-12-12 07:58:53,23.8,49.0
2024-12-12 07:58:58,23.8,49.0
2024-12-12 07:59:03,23.8,49.0
2024-12-12 07:59:08,23.8,49.0
2024-12-12 07:59:14,23.8,49.0
2024-12-12 07:59:19,23.8,49.0
2024-12-12 07:59:24,23.8,49.0
2024-12-12 07:59:30,23.8,49.0
2024-12-12 07:59:35,23.8,49.0
2024-12-12 07:59:40,23.8,49.0
2024-12-12 07:59:45,23.8,49.0
2024-12-12 07:59:50,23.8,49.0
2024-12-12 07:59:56,23.8,49.0
2024-12-12 08:00:01,23.8,49.0
2024-12-12 08:00:06,23.8,49.0
2024-12-12 08:00:11,23.8,49.0
2024-12-12 08:00:16,23.8,49.0
2024-12-12 08:00:22,23.8,49.0
2024-12-12 08:00:27,23.8,49.0
2024-12-12 08:00:32,23.8,49.0
2024-12-12 08:00:37,23.8,49.0
2024-12-12 08:00:42,23.8,49.0
2024-12-12 08:00:48,23.8,49.0
2024-12-12 08:00:53,23.8,49.0
2024-12-12 08:00:58,23.8,49.0
2024-12-12 08:01:03,23.8,49.0
2024-12-12 08:01:09,23.8,49.0
2024-12-12 08:01:14,23.8,49.0
2024-12-12 08:01:19,23.8,49.0
2024-12-12 08:01:24,23.8,49.0
2024-12-12 08:01:30,23.8,49.0
2024-12-12 08:01:35,23.8,49.0
2024-12-12 08:01:40,23.8,49.0
2024-12-12 08:01:46,23.8,49.0
2024-12-12 08:01:51,23.8,49.0
2024-12-12 08:01:56,23.8,49.0
2024-12-12 08:02:01,23.8,49.0
2024-12-12 08:02:06,23.8,49.0
2024-12-12 08:02:12,23.8,49.0
2024-12-12 08:02:17,23.8,49.0
2024-12-12 08:02:22,23.8,49.0
2024-12-12 08:02:27,23.8,49.0
2024-12-12 08:02:33,23.8,49.0
2024-12-12 08:02:38,23.8,49.0
2024-12-12 08:02:43,23.8,49.0
2024-12-12 08:02:48,23.8,49.0
2024-12-12 08:02:54,23.8,49.0
2024-12-12 08:02:59,23.8,49.0
2024-12-12 08:03:04,23.8,48.0
2024-12-12 08:03:09,23.8,48.0
2024-12-12 08:03:14,23.8,48.0
2024-12-12 08:03:19,23.8,48.0
2024-12-12 08:03:25,23.8,48.0
2024-12-12 08:03:30,23.8,48.0
2024-12-12 08:03:35,23.8,48.0
2024-12-12 08:03:41,23.8,48.0
2024-12-12 08:03:46,23.8,48.0
2024-12-12 08:03:51,23.8,48.0
2024-12-12 08:03:56,23.8,48.0
2024-12-12 08:04:01,23.8,48.0
2024-12-12 08:04:07,23.8,48.0
2024-12-12 08:04:12,23.8,48.0
2024-12-12 08:04:17,23.8,48.0
2024-12-12 08:04:23,23.8,48.0
2024-12-12 08:04:28,23.8,48.0
2024-12-12 08:04:33,23.8,48.0
2024-12-12 08:04:38,23.8,48.0
2024-12-12 08:04:44,23.8,48.0
2024-12-12 08:04:49,23.8,48.0
2024-12-12 08:04:55,23.8,48.0
2024-12-12 08:05:00,23.8,48.0
2024-12-12 08:05:05,23.8,48.0
2024-12-12 08:05:10,23.8,48.0
2024-12-12 08:05:15,23.8,48.0
2024-12-12 08:05:20,23.8,49.0
2024-12-12 08:05:25,23.8,49.0
2024-12-12 08:05:31,23.8,49.0
2024-12-12 08:05:36,23.8,49.0
2024-12-12 08:05:41,23.8,49.0
2024-12-12 08:05:46,23.8,49.0
2024-12-12 08:05:52,23.8,49.0
2024-12-12 08:05:57,23.8,49.0
2024-12-12 08:06:02,23.8,49.0
2024-12-12 08:06:07,23.8,49.0
2024-12-12 08:06:12,23.8,49.0
2024-12-12 08:06:18,23.8,49.0
2024-12-12 08:06:23,23.8,49.0
2024-12-12 08:06:28,23.8,49.0
2024-12-12 08:06:34,23.8,49.0
2024-12-12 08:06:39,23.8,49.0
2024-12-12 08:06:44,23.8,49.0
2024-12-12 08:06:50,23.8,49.0
2024-12-12 08:06:55,23.8,49.0
2024-12-12 08:07:00,23.8,49.0
2024-12-12 08:07:05,23.8,49.0
2024-12-12 08:07:11,23.8,49.0
2024-12-12 08:07:16,23.8,49.0
2024-12-12 08:07:21,23.8,49.0
2024-12-12 08:07:26,23.8,49.0
2024-12-12 08:07:32,23.8,49.0
2024-12-12 08:07:37,23.8,49.0
2024-12-12 08:07:42,23.8,49.0
2024-12-12 08:07:47,23.8,49.0
2024-12-12 08:07:52,23.8,49.0
2024-12-12 08:07:57,23.8,49.0
2024-12-12 08:08:03,23.8,49.0
2024-12-12 08:08:08,23.8,49.0
2024-12-12 08:08:13,23.8,49.0
2024-12-12 08:08:18,23.8,49.0
2024-12-12 08:08:23,23.8,49.0
2024-12-12 08:08:29,23.8,49.0
2024-12-12 08:08:34,23.8,49.0
2024-12-12 08:08:39,23.8,49.0
2024-12-12 08:08:44,23.8,49.0
2024-12-12 08:08:49,23.8,49.0
2024-12-12 08:08:55,23.8,49.0
2024-12-12 08:09:00,23.8,49.0
2024-12-12 08:09:05,23.8,49.0
2024-12-12 08:09:10,23.8,49.0
2024-12-12 08:09:16,23.8,49.0
2024-12-12 08:09:21,23.8,49.0
2024-12-12 08:09:26,23.8,49.0
2024-12-12 08:09:31,23.8,49.0
2024-12-12 08:09:37,23.8,49.0
2024-12-12 08:09:42,23.8,49.0
2024-12-12 08:09:47,23.8,49.0
2024-12-12 08:09:52,23.8,49.0
2024-12-12 08:09:57,23.8,49.0
2024-12-12 08:10:03,23.8,49.0
2024-12-12 08:10:08,23.8,49.0
2024-12-12 08:10:13,23.8,49.0
2024-12-12 08:10:18,23.8,49.0
2024-12-12 08:10:23,23.8,49.0
2024-12-12 08:10:28,23.8,49.0
2024-12-12 08:10:33,23.8,49.0
2024-12-12 08:10:39,23.8,49.0
2024-12-12 08:10:44,23.8,49.0
2024-12-12 08:10:49,23.8,49.0
2024-12-12 08:10:55,23.8,49.0
2024-12-12 08:11:00,23.8,49.0
2024-12-12 08:11:05,23.8,49.0
2024-12-12 08:11:10,23.8,49.0
2024-12-12 08:11:15,23.8,49.0
2024-12-12 08:11:20,23.8,49.0
2024-12-12 08:11:25,23.8,49.0
2024-12-12 08:11:31,23.8,49.0
2024-12-12 08:11:36,23.8,49.0
2024-12-12 08:11:41,23.8,49.0
2024-12-12 08:11:46,23.8,50.0
2024-12-12 08:11:52,23.8,50.0
2024-12-12 08:11:57,23.8,49.0
2024-12-12 08:12:02,23.8,49.0
2024-12-12 08:12:07,23.8,49.0
2024-12-12 08:12:12,23.8,49.0
2024-12-12 08:12:18,23.8,49.0
2024-12-12 08:12:23,23.8,49.0
2024-12-12 08:12:28,23.8,49.0
2024-12-12 08:12:33,23.8,49.0
2024-12-12 08:12:39,23.8,49.0
2024-12-12 08:12:44,23.8,49.0
2024-12-12 08:12:49,23.8,49.0
2024-12-12 08:12:54,23.8,50.0
2024-12-12 08:13:00,23.8,49.0
2024-12-12 08:13:05,23.8,49.0
2024-12-12 08:13:10,23.8,49.0
2024-12-12 08:13:15,23.8,49.0
2024-12-12 08:13:20,23.8,50.0
2024-12-12 08:13:26,23.8,50.0
2024-12-12 08:13:31,23.8,50.0
2024-12-12 08:13:36,23.8,50.0
2024-12-12 08:13:41,23.8,49.0
2024-12-12 08:13:47,23.8,49.0
2024-12-12 08:13:52,23.8,49.0
2024-12-12 08:13:57,23.8,49.0
2024-12-12 08:14:03,23.8,49.0
2024-12-12 08:14:08,23.8,49.0
2024-12-12 08:14:13,23.8,49.0
2024-12-12 08:14:18,23.8,49.0
2024-12-12 08:14:23,23.8,49.0
2024-12-12 08:14:29,23.8,49.0
2024-12-12 08:14:34,23.8,49.0
2024-12-12 08:14:39,23.8,49.0
2024-12-12 08:14:44,23.8,49.0
2024-12-12 08:14:49,23.8,49.0
2024-12-12 08:14:55,23.8,49.0
2024-12-12 08:15:00,23.8,49.0
2024-12-12 08:15:05,23.8,49.0
2024-12-12 08:15:10,23.8,49.0
2024-12-12 08:15:16,23.8,49.0
2024-12-12 08:15:21,23.8,49.0
2024-12-12 08:15:26,23.8,49.0
2024-12-12 08:15:31,23.8,49.0
2024-12-12 08:15:37,23.8,48.0
2024-12-12 08:15:42,23.8,48.0
2024-12-12 08:15:47,23.8,48.0
2024-12-12 08:15:52,23.8,48.0
2024-12-12 08:15:57,23.8,48.0
2024-12-12 08:16:03,23.8,48.0
2024-12-12 08:16:08,23.8,48.0
2024-12-12 08:16:13,23.8,48.0
2024-12-12 08:16:18,23.8,48.0
2024-12-12 08:16:24,23.8,48.0
2024-12-12 08:16:29,23.8,49.0
2024-12-12 08:16:35,23.8,49.0
2024-12-12 08:16:40,23.8,49.0
2024-12-12 08:16:45,23.8,49.0
2024-12-12 08:16:50,23.8,49.0
2024-12-12 08:16:55,23.8,49.0
2024-12-12 08:17:01,23.8,49.0
2024-12-12 08:17:06,23.8,49.0
2024-12-12 08:17:11,23.8,49.0
2024-12-12 08:17:16,23.8,49.0
2024-12-12 08:17:21,23.8,49.0
2024-12-12 08:17:26,23.8,49.0
2024-12-12 08:17:31,23.8,49.0
2024-12-12 08:17:37,23.8,49.0
2024-12-12 08:17:42,23.8,49.0
2024-12-12 08:17:47,23.8,48.0
2024-12-12 08:17:53,23.8,48.0
2024-12-12 08:17:58,23.8,48.0
2024-12-12 08:18:03,23.8,48.0
2024-12-12 08:18:08,23.8,48.0
2024-12-12 08:18:13,23.8,48.0
2024-12-12 08:18:19,23.8,48.0
2024-12-12 08:18:24,23.8,49.0
2024-12-12 08:18:29,23.8,49.0
2024-12-12 08:18:34,23.8,49.0
2024-12-12 08:18:40,23.8,49.0
2024-12-12 08:18:45,23.8,49.0
2024-12-12 08:18:50,23.8,49.0
2024-12-12 08:18:55,23.8,49.0
2024-12-12 08:19:01,23.8,49.0
2024-12-12 08:19:06,23.8,49.0
2024-12-12 08:19:11,23.8,49.0
2024-12-12 08:19:17,23.8,49.0
2024-12-12 08:19:22,23.8,49.0
2024-12-12 08:19:27,23.8,49.0
2024-12-12 08:19:33,23.8,49.0
2024-12-12 08:19:38,23.8,49.0
2024-12-12 08:19:43,23.8,49.0
2024-12-12 08:19:48,23.8,49.0
2024-12-12 08:19:53,23.8,49.0
2024-12-12 08:19:59,23.8,49.0
2024-12-12 08:20:04,23.8,49.0
2024-12-12 08:20:09,23.8,49.0
2024-12-12 08:20:14,23.8,49.0
2024-12-12 08:20:19,23.8,49.0
2024-12-12 08:20:25,23.8,49.0
2024-12-12 08:20:30,23.8,49.0
2024-12-12 08:20:35,23.8,49.0
2024-12-12 08:20:40,23.8,49.0
2024-12-12 08:20:45,23.8,49.0
2024-12-12 08:20:51,23.8,49.0
2024-12-12 08:20:56,23.8,49.0
2024-12-12 08:21:01,23.8,49.0
2024-12-12 08:21:06,23.8,49.0
2024-12-12 08:21:11,23.8,49.0
2024-12-12 08:21:17,23.8,49.0
2024-12-12 08:21:22,23.8,49.0
2024-12-12 08:21:27,23.8,49.0
2024-12-12 08:21:32,23.8,49.0
2024-12-12 08:21:37,23.8,49.0
2024-12-12 08:21:43,23.8,49.0
2024-12-12 08:21:48,23.8,49.0
2024-12-12 08:21:53,23.8,49.0
2024-12-12 08:21:58,23.8,49.0
2024-12-12 08:22:03,23.8,49.0
2024-12-12 08:22:09,23.8,49.0
2024-12-12 08:22:14,23.8,49.0
2024-12-12 08:22:19,23.8,49.0
2024-12-12 08:22:24,23.8,49.0
2024-12-12 08:22:29,23.8,49.0
2024-12-12 08:22:35,23.8,49.0
2024-12-12 08:22:40,23.8,49.0
2024-12-12 08:22:45,23.8,49.0
2024-12-12 08:22:50,23.8,49.0
2024-12-12 08:22:55,23.8,49.0
2024-12-12 08:23:01,23.8,49.0
2024-12-12 08:23:06,23.8,49.0
2024-12-12 08:23:11,23.8,49.0
2024-12-12 08:23:17,23.8,49.0
2024-12-12 08:23:22,23.8,49.0
2024-12-12 08:23:27,23.8,49.0
2024-12-12 08:23:32,23.8,49.0
2024-12-12 08:23:37,23.8,49.0
2024-12-12 08:23:43,23.8,49.0
2024-12-12 08:23:48,23.8,49.0
2024-12-12 08:23:53,23.8,49.0
2024-12-12 08:23:59,23.8,49.0
2024-12-12 08:24:04,23.8,49.0
2024-12-12 08:24:09,23.8,49.0
2024-12-12 08:24:14,23.8,49.0
2024-12-12 08:24:20,23.8,49.0
2024-12-12 08:24:25,23.8,49.0
2024-12-12 08:24:30,23.8,49.0
2024-12-12 08:24:35,23.8,49.0
2024-12-12 08:24:41,23.8,49.0
2024-12-12 08:24:46,23.8,49.0
2024-12-12 08:24:51,23.8,49.0
2024-12-12 08:24:56,23.8,49.0
2024-12-12 08:25:01,23.8,49.0
2024-12-12 08:25:07,23.8,49.0
2024-12-12 08:25:12,23.8,49.0
2024-12-12 08:25:17,23.8,49.0
2024-12-12 08:25:23,23.8,49.0
